iter	Passed	Remaining
0	2	2478
1	4	2469
2	8	2675
3	10	2643
4	12	2566
5	15	2535
6	19	2782
7	22	2766
8	24	2751
9	27	2721
10	29	2690
11	32	2653
12	34	2620
13	36	2599
14	39	2603
15	42	2639
16	44	2586
17	47	2598
18	50	2589
19	52	2596
20	55	2592
21	58	2585
22	62	2648
23	64	2635
24	67	2646
25	70	2646
26	73	2633
27	75	2615
28	77	2599
29	79	2586
30	82	2574
31	85	2593
32	87	2579
33	90	2574
34	92	2565
35	95	2551
36	97	2537
37	99	2523
38	101	2512
39	104	2499
40	106	2492
41	108	2486
42	111	2480
43	113	2473
44	116	2465
45	118	2456
46	120	2447
47	122	2440
48	125	2435
49	127	2430
50	130	2422
51	132	2426
52	135	2427
53	137	2419
54	140	2414
55	142	2409
56	145	2403
57	147	2398
58	149	2393
59	153	2401
60	155	2395
61	157	2388
62	159	2381
63	162	2376
64	164	2375
65	170	2414
66	172	2407
67	174	2400
68	177	2394
69	179	2391
70	183	2405
71	185	2395
72	187	2385
73	189	2379
74	193	2394
75	196	2389
76	198	2379
77	200	2368
78	202	2363
79	205	2368
80	208	2373
81	211	2371
82	213	2365
83	216	2359
84	219	2369
85	222	2365
86	226	2376
87	228	2373
88	230	2364
89	233	2361
90	235	2356
91	237	2350
92	240	2345
93	242	2341
94	245	2337
95	247	2332
96	249	2329
97	252	2324
98	254	2319
99	256	2314
100	259	2309
101	261	2305
102	263	2301
103	266	2296
104	268	2292
105	270	2288
106	273	2282
107	275	2278
108	277	2274
109	280	2269
110	282	2264
111	284	2260
112	288	2264
113	290	2259
114	292	2256
115	296	2260
116	299	2259
117	301	2253
118	302	2245
119	305	2240
120	307	2234
121	309	2230
122	311	2226
123	314	2223
124	316	2219
125	318	2215
126	321	2211
127	323	2206
128	325	2203
129	328	2199
130	331	2199
131	333	2198
132	336	2195
133	338	2192
134	341	2188
135	343	2184
136	345	2180
137	348	2177
138	350	2174
139	353	2171
140	355	2167
141	357	2163
142	359	2159
143	362	2155
144	364	2152
145	366	2148
146	369	2144
147	371	2142
148	375	2147
149	377	2142
150	379	2137
151	381	2132
152	384	2128
153	386	2125
154	389	2126
155	391	2122
156	394	2119
157	396	2116
158	398	2112
159	401	2111
160	404	2109
161	406	2106
162	409	2103
163	411	2099
164	413	2095
165	415	2091
166	418	2088
167	420	2084
168	422	2081
169	425	2078
170	427	2075
171	430	2072
172	432	2071
173	434	2065
174	436	2061
175	439	2058
176	441	2054
177	445	2060
178	449	2065
179	454	2070
180	457	2070
181	460	2072
182	462	2069
183	465	2065
184	467	2061
185	470	2061
186	472	2058
187	475	2056
188	477	2051
189	480	2048
190	482	2047
191	485	2046
192	488	2043
193	490	2039
194	492	2036
195	495	2033
196	497	2031
197	500	2028
198	502	2025
199	504	2022
200	507	2019
201	509	2016
202	512	2015
203	515	2012
204	517	2009
205	519	2006
206	522	2003
207	524	2001
208	527	1998
209	530	1997
210	532	1993
211	534	1990
212	537	1987
213	539	1984
214	542	1983
215	545	1981
216	548	1982
217	551	1979
218	553	1975
219	555	1973
220	558	1969
221	560	1966
222	562	1963
223	565	1959
224	567	1956
225	569	1954
226	572	1951
227	574	1948
228	577	1947
229	579	1943
230	582	1940
231	586	1944
232	588	1941
233	591	1938
234	593	1935
235	596	1933
236	598	1930
237	601	1927
238	603	1924
239	606	1921
240	608	1918
241	610	1915
242	613	1912
243	615	1909
244	617	1906
245	620	1904
246	622	1901
247	625	1898
248	627	1894
249	630	1892
250	632	1888
251	634	1885
252	636	1882
253	638	1878
254	641	1875
255	644	1876
256	646	1871
257	648	1868
258	650	1864
259	653	1861
260	655	1859
261	658	1856
262	660	1853
263	663	1852
264	665	1849
265	668	1846
266	672	1848
267	674	1844
268	677	1842
269	679	1839
270	681	1836
271	684	1833
272	687	1833
273	689	1829
274	691	1826
275	694	1823
276	696	1820
277	699	1818
278	701	1815
279	703	1811
280	705	1808
281	708	1805
282	710	1802
283	712	1799
284	715	1796
285	717	1794
286	720	1791
287	722	1788
288	724	1785
289	727	1782
290	729	1779
291	731	1776
292	734	1774
293	736	1771
294	739	1768
295	741	1765
296	743	1762
297	745	1759
298	748	1756
299	750	1753
300	752	1749
301	754	1746
302	756	1743
303	759	1741
304	761	1738
305	764	1735
306	766	1732
307	768	1729
308	771	1726
309	773	1724
310	775	1721
311	778	1718
312	781	1717
313	783	1714
314	786	1711
315	788	1709
316	791	1707
317	793	1704
318	796	1702
319	798	1699
320	801	1697
321	803	1693
322	805	1690
323	807	1687
324	810	1684
325	812	1682
326	814	1679
327	817	1676
328	819	1673
329	821	1671
330	824	1668
331	826	1665
332	828	1662
333	830	1659
334	833	1657
335	836	1654
336	838	1651
337	840	1648
338	842	1645
339	844	1642
340	847	1639
341	849	1636
342	851	1633
343	853	1630
344	856	1627
345	858	1625
346	860	1622
347	863	1619
348	865	1617
349	868	1614
350	870	1611
351	872	1609
352	875	1606
353	877	1603
354	879	1601
355	882	1598
356	884	1595
357	886	1592
358	888	1589
359	891	1586
360	893	1584
361	896	1581
362	898	1579
363	900	1576
364	904	1575
365	906	1572
366	908	1569
367	911	1567
368	913	1564
369	915	1562
370	918	1559
371	920	1556
372	923	1554
373	925	1551
374	927	1548
375	929	1545
376	932	1542
377	934	1539
378	936	1537
379	938	1534
380	941	1531
381	943	1528
382	945	1525
383	947	1522
384	949	1519
385	952	1516
386	954	1514
387	956	1511
388	959	1509
389	961	1506
390	963	1503
391	965	1500
392	968	1497
393	970	1495
394	972	1492
395	975	1491
396	978	1488
397	980	1485
398	983	1483
399	985	1480
400	988	1478
401	990	1475
402	992	1472
403	994	1469
404	996	1466
405	998	1464
406	1001	1461
407	1003	1458
408	1006	1456
409	1008	1453
410	1010	1450
411	1013	1448
412	1015	1445
413	1017	1443
414	1019	1440
415	1022	1438
416	1025	1435
417	1027	1433
418	1029	1430
419	1032	1427
420	1034	1425
421	1036	1422
422	1038	1419
423	1041	1416
424	1044	1415
425	1052	1420
426	1059	1424
427	1063	1424
428	1066	1421
429	1068	1419
430	1071	1416
431	1073	1414
432	1076	1411
433	1078	1409
434	1081	1406
435	1083	1404
436	1086	1402
437	1088	1399
438	1091	1396
439	1093	1393
440	1095	1390
441	1097	1388
442	1100	1385
443	1102	1382
444	1105	1380
445	1107	1378
446	1109	1375
447	1112	1372
448	1114	1370
449	1116	1367
450	1119	1364
451	1121	1361
452	1123	1358
453	1125	1356
454	1127	1353
455	1129	1350
456	1133	1349
457	1136	1346
458	1138	1344
459	1140	1341
460	1143	1338
461	1145	1336
462	1147	1333
463	1149	1330
464	1151	1327
465	1154	1324
466	1156	1322
467	1158	1319
468	1160	1316
469	1162	1313
470	1165	1310
471	1167	1308
472	1170	1306
473	1172	1304
474	1175	1301
475	1177	1298
476	1180	1296
477	1182	1294
478	1185	1291
479	1187	1288
480	1189	1286
481	1192	1283
482	1194	1280
483	1196	1278
484	1198	1275
485	1201	1272
486	1203	1270
487	1206	1267
488	1208	1265
489	1210	1262
490	1212	1259
491	1215	1257
492	1217	1254
493	1219	1251
494	1222	1249
495	1224	1246
496	1226	1243
497	1228	1241
498	1230	1238
499	1233	1235
500	1235	1232
501	1237	1229
502	1239	1226
503	1241	1224
504	1243	1221
505	1246	1219
506	1249	1217
507	1251	1214
508	1253	1211
509	1256	1209
510	1258	1206
511	1260	1203
512	1263	1201
513	1265	1199
514	1268	1196
515	1270	1194
516	1272	1191
517	1275	1189
518	1277	1186
519	1279	1183
520	1281	1180
521	1284	1178
522	1286	1175
523	1288	1173
524	1290	1170
525	1293	1167
526	1295	1165
527	1298	1162
528	1300	1160
529	1302	1157
530	1305	1155
531	1307	1152
532	1309	1150
533	1312	1147
534	1314	1144
535	1316	1142
536	1318	1139
537	1321	1137
538	1323	1134
539	1325	1131
540	1327	1129
541	1329	1126
542	1332	1123
543	1334	1120
544	1336	1118
545	1338	1115
546	1341	1113
547	1343	1110
548	1345	1107
549	1348	1105
550	1350	1102
551	1352	1100
552	1355	1097
553	1357	1095
554	1359	1092
555	1362	1090
556	1365	1088
557	1367	1085
558	1369	1083
559	1371	1080
560	1373	1077
561	1376	1075
562	1378	1072
563	1381	1070
564	1383	1067
565	1385	1064
566	1387	1062
567	1390	1059
568	1392	1057
569	1395	1054
570	1397	1052
571	1399	1049
572	1401	1046
573	1403	1044
574	1406	1041
575	1408	1039
576	1411	1036
577	1413	1034
578	1415	1031
579	1418	1029
580	1422	1028
581	1431	1030
582	1433	1027
583	1435	1025
584	1438	1022
585	1440	1020
586	1443	1017
587	1445	1015
588	1448	1013
589	1450	1010
590	1453	1008
591	1456	1005
592	1458	1003
593	1460	1000
594	1462	998
595	1465	995
596	1467	992
597	1470	990
598	1472	988
599	1474	985
600	1476	982
601	1479	980
602	1481	977
603	1483	975
604	1486	972
605	1489	970
606	1491	967
607	1493	965
608	1496	963
609	1498	960
610	1500	957
611	1503	955
612	1506	953
613	1508	950
614	1511	948
615	1513	945
616	1515	943
617	1518	940
618	1520	938
619	1522	935
620	1525	933
621	1527	930
622	1529	928
623	1532	925
624	1534	923
625	1536	920
626	1539	918
627	1541	915
628	1543	912
629	1545	910
630	1547	907
631	1550	905
632	1552	902
633	1554	899
634	1556	897
635	1559	895
636	1562	892
637	1564	889
638	1566	887
639	1568	884
640	1571	882
641	1573	879
642	1575	877
643	1578	874
644	1580	872
645	1584	870
646	1586	868
647	1588	865
648	1591	862
649	1593	860
650	1595	857
651	1598	855
652	1600	853
653	1602	850
654	1605	847
655	1609	846
656	1611	843
657	1613	841
658	1615	838
659	1618	836
660	1620	833
661	1622	831
662	1625	828
663	1627	826
664	1629	823
665	1633	821
666	1635	818
667	1637	816
668	1639	813
669	1642	811
670	1644	808
671	1647	806
672	1649	803
673	1651	801
674	1654	798
675	1656	796
676	1659	794
677	1661	791
678	1663	788
679	1665	786
680	1668	783
681	1670	781
682	1672	778
683	1674	776
684	1677	773
685	1679	771
686	1681	768
687	1684	766
688	1686	763
689	1688	761
690	1690	758
691	1693	756
692	1695	753
693	1697	750
694	1699	748
695	1703	746
696	1705	743
697	1707	741
698	1709	738
699	1711	735
700	1713	733
701	1715	730
702	1717	728
703	1719	725
704	1721	722
705	1724	720
706	1726	717
707	1728	715
708	1730	712
709	1733	710
710	1735	707
711	1738	705
712	1740	703
713	1742	700
714	1745	698
715	1747	695
716	1749	693
717	1752	690
718	1755	688
719	1757	686
720	1760	683
721	1762	681
722	1764	678
723	1767	676
724	1769	673
725	1772	671
726	1774	668
727	1776	666
728	1779	663
729	1781	661
730	1784	659
731	1786	656
732	1788	654
733	1791	651
734	1793	649
735	1796	646
736	1798	644
737	1800	641
738	1803	639
739	1805	636
740	1807	634
741	1810	631
742	1812	629
743	1814	626
744	1816	624
745	1819	621
746	1821	619
747	1823	616
748	1826	614
749	1829	612
750	1832	609
751	1834	607
752	1837	605
753	1839	602
754	1841	600
755	1844	597
756	1846	595
757	1848	592
758	1852	590
759	1854	588
760	1856	585
761	1859	583
762	1861	580
763	1863	578
764	1866	575
765	1868	573
766	1870	570
767	1873	568
768	1875	565
769	1878	563
770	1880	561
771	1882	558
772	1884	555
773	1887	553
774	1889	550
775	1891	548
776	1894	546
777	1896	543
778	1898	540
779	1900	538
780	1902	535
781	1905	533
782	1907	531
783	1909	528
784	1912	526
785	1914	523
786	1916	521
787	1919	518
788	1921	516
789	1924	513
790	1926	511
791	1928	508
792	1930	506
793	1933	504
794	1935	501
795	1937	499
796	1940	496
797	1942	494
798	1944	491
799	1947	489
800	1950	487
801	1953	484
802	1955	482
803	1957	479
804	1960	477
805	1962	474
806	1965	472
807	1967	469
808	1969	467
809	1971	464
810	1974	462
811	1976	460
812	1978	457
813	1981	455
814	1983	452
815	1986	450
816	1989	448
817	1991	445
818	1993	443
819	1996	440
820	1998	438
821	2000	435
822	2003	433
823	2005	430
824	2007	428
825	2010	425
826	2012	423
827	2014	420
828	2017	418
829	2019	416
830	2021	413
831	2024	411
832	2026	408
833	2028	406
834	2031	403
835	2033	401
836	2039	399
837	2042	397
838	2050	395
839	2054	393
840	2057	391
841	2060	389
842	2063	386
843	2065	384
844	2068	381
845	2070	379
846	2072	376
847	2075	374
848	2077	371
849	2079	369
850	2082	367
851	2084	364
852	2086	362
853	2088	359
854	2091	357
855	2093	354
856	2095	352
857	2098	349
858	2101	347
859	2103	344
860	2105	342
861	2107	339
862	2109	337
863	2112	334
864	2114	332
865	2116	329
866	2118	327
867	2120	324
868	2123	322
869	2125	320
870	2127	317
871	2129	315
872	2131	312
873	2134	310
874	2136	307
875	2138	305
876	2140	302
877	2143	300
878	2146	297
879	2148	295
880	2150	292
881	2152	290
882	2155	288
883	2157	285
884	2159	283
885	2162	280
886	2164	278
887	2167	275
888	2170	273
889	2172	270
890	2175	268
891	2177	266
892	2179	263
893	2181	261
894	2183	258
895	2186	256
896	2188	253
897	2190	251
898	2192	248
899	2194	246
900	2197	243
901	2199	241
902	2201	238
903	2203	236
904	2206	234
905	2208	231
906	2211	229
907	2213	226
908	2216	224
909	2218	221
910	2220	219
911	2222	216
912	2224	214
913	2226	211
914	2229	209
915	2231	207
916	2234	204
917	2236	202
918	2239	199
919	2241	197
920	2243	194
921	2245	192
922	2248	189
923	2250	187
924	2253	185
925	2255	182
926	2257	180
927	2260	177
928	2263	175
929	2265	172
930	2268	170
931	2270	168
932	2272	165
933	2275	163
934	2277	160
935	2279	158
936	2281	155
937	2283	153
938	2285	150
939	2287	148
940	2289	146
941	2292	143
942	2294	141
943	2296	138
944	2299	136
945	2301	133
946	2304	131
947	2306	128
948	2308	126
949	2311	124
950	2313	121
951	2316	119
952	2318	116
953	2321	114
954	2323	111
955	2325	109
956	2327	107
957	2330	104
958	2332	102
959	2335	99
960	2337	97
961	2339	94
962	2341	92
963	2344	89
964	2346	87
965	2349	85
966	2351	82
967	2353	80
968	2356	77
969	2358	75
970	2360	72
971	2362	70
972	2364	68
973	2366	65
974	2368	63
975	2371	60
976	2373	58
977	2375	55
978	2377	53
979	2379	50
980	2381	48
981	2384	46
982	2386	43
983	2388	41
984	2391	38
985	2394	36
986	2400	34
987	2402	31
988	2405	29
989	2407	26
990	2410	24
991	2413	21
992	2415	19
993	2418	17
994	2420	14
995	2422	12
996	2424	9
997	2427	7
998	2429	4
999	2432	2
1000	2434	0
